"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"216",20.4,"up",10.8424542933921,"success",7,0.1,1,1,1,0.5
"217",17.6,"up",9.57986240830887,"success",8,0.1,1,1,1,0.5
"218",15.7,"up",8.69373867654812,"success",9,0.1,1,1,1,0.5
"310",27.2,"up",13.4031859540877,"success",5,0.1,1,1,1,0.75
"311",21.3,"up",10.6705826601541,"success",6,0.1,1,1,1,0.75
"312",18,"up",9.07798107526096,"success",7,0.1,1,1,1,0.75
"406",24.6,"up",11.3886429371772,"success",5,0.1,1,1,1,1
"407",19.8,"up",9.17876616114334,"success",6,0.1,1,1,1,1
"502",57.9,"up",16.8332586330001,"success",3,0.1,1,1,1,2
"503",30.1,"up",10.5242675545457,"success",4,0.1,1,1,1,2
"600",57.3,"up",14.8306170650762,"success",3,0.1,1,1,1,2.5
"601",29.8,"up",9.54290105738622,"success",4,0.1,1,1,1,2.5
"698",57.6,"up",13.4465044251329,"success",3,0.1,1,1,1,3
"796",57.9,"up",12.4734222567539,"success",3,0.1,1,1,1,3.5
"894",58.2,"up",11.7663451251634,"success",3,0.1,1,1,1,4
"992",58.5,"up",10.8330570076124,"success",3,0.1,1,1,1,5
"1090",NA,"up",0.00787786728037267,"success",2,0.1,1,1,1,10
"1189",NA,"up",0.00841946878727598,"success",2,0.1,1,1,1,15
"1288",NA,"up",0.008713860669707,"success",2,0.1,1,1,1,20
"1",0,"0",0,"Fail",1,0.1,1,1,1,1e-05
"2",0,"0",0,"Fail",2,0.1,1,1,1,1e-05
"3",0,"0",0,"Fail",3,0.1,1,1,1,1e-05
"4",0,"0",0,"Fail",4,0.1,1,1,1,1e-05
"5",0,"0",0,"Fail",5,0.1,1,1,1,1e-05
"6",0,"0",0,"Fail",6,0.1,1,1,1,1e-05
"7",0,"0",0,"Fail",7,0.1,1,1,1,1e-05
"8",0,"0",0,"Fail",8,0.1,1,1,1,1e-05
"9",0,"0",0,"Fail",9,0.1,1,1,1,1e-05
"10",0,"0",0,"Fail",10,0.1,1,1,1,1e-05
"11",0,"0",0,"Fail",11,0.1,1,1,1,1e-05
"12",0,"0",0,"Fail",12,0.1,1,1,1,1e-05
"13",0,"0",0,"Fail",13,0.1,1,1,1,1e-05
"14",0,"0",0,"Fail",14,0.1,1,1,1,1e-05
"15",0,"0",0,"Fail",15,0.1,1,1,1,1e-05
"16",0,"0",0,"Fail",16,0.1,1,1,1,1e-05
"17",0,"0",0,"Fail",17,0.1,1,1,1,1e-05
"18",0,"0",0,"Fail",18,0.1,1,1,1,1e-05
"19",0,"0",0,"Fail",19,0.1,1,1,1,1e-05
"20",0,"0",0,"Fail",20,0.1,1,1,1,1e-05
"21",0,"0",0,"Fail",21,0.1,1,1,1,1e-05
"22",0,"0",0,"Fail",22,0.1,1,1,1,1e-05
"23",0,"0",0,"Fail",23,0.1,1,1,1,1e-05
"24",0,"0",0,"Fail",24,0.1,1,1,1,1e-05
"25",0,"0",0,"Fail",25,0.1,1,1,1,1e-05
"26",0,"0",0,"Fail",26,0.1,1,1,1,1e-05
"27",0,"0",0,"Fail",27,0.1,1,1,1,1e-05
"28",0,"0",0,"Fail",28,0.1,1,1,1,1e-05
"29",0,"0",0,"Fail",29,0.1,1,1,1,1e-05
"30",0,"0",0,"Fail",30,0.1,1,1,1,1e-05
"31",0,"0",0,"Fail",31,0.1,1,1,1,1e-05
"32",0,"0",0,"Fail",32,0.1,1,1,1,1e-05
"33",0,"0",0,"Fail",33,0.1,1,1,1,1e-05
"34",0,"0",0,"Fail",34,0.1,1,1,1,1e-05
"35",0,"0",0,"Fail",35,0.1,1,1,1,1e-05
"36",0,"0",0,"Fail",36,0.1,1,1,1,1e-05
"37",0,"0",0,"Fail",37,0.1,1,1,1,1e-05
"38",0,"0",0,"Fail",38,0.1,1,1,1,1e-05
"39",0,"0",0,"Fail",39,0.1,1,1,1,1e-05
"40",0,"0",0,"Fail",40,0.1,1,1,1,1e-05
"41",0,"0",0,"Fail",41,0.1,1,1,1,1e-05
"42",0,"0",0,"Fail",42,0.1,1,1,1,1e-05
"43",0,"0",0,"Fail",43,0.1,1,1,1,1e-05
"44",0,"0",0,"Fail",44,0.1,1,1,1,1e-05
"45",0,"0",0,"Fail",45,0.1,1,1,1,1e-05
"46",0,"0",0,"Fail",46,0.1,1,1,1,1e-05
"47",0,"0",0,"Fail",47,0.1,1,1,1,1e-05
"48",0,"0",0,"Fail",48,0.1,1,1,1,1e-05
"49",0,"0",0,"Fail",49,0.1,1,1,1,1e-05
"50",0,"0",0,"Fail",50,0.1,1,1,1,1e-05
"51",0,"0",0,"Fail",51,0.1,1,1,1,1e-05
"52",0,"0",0,"Fail",52,0.1,1,1,1,1e-05
"53",0,"0",0,"Fail",53,0.1,1,1,1,1e-05
"54",0,"0",0,"Fail",54,0.1,1,1,1,1e-05
"55",0,"0",0,"Fail",55,0.1,1,1,1,1e-05
"56",0,"0",0,"Fail",56,0.1,1,1,1,1e-05
"57",0,"0",0,"Fail",57,0.1,1,1,1,1e-05
"58",0,"0",0,"Fail",58,0.1,1,1,1,1e-05
"59",0,"0",0,"Fail",59,0.1,1,1,1,1e-05
"60",0,"0",0,"Fail",60,0.1,1,1,1,1e-05
"61",0,"0",0,"Fail",61,0.1,1,1,1,1e-05
"62",0,"0",0,"Fail",62,0.1,1,1,1,1e-05
"63",0,"0",0,"Fail",63,0.1,1,1,1,1e-05
"64",0,"0",0,"Fail",64,0.1,1,1,1,1e-05
"65",0,"0",0,"Fail",65,0.1,1,1,1,1e-05
"66",0,"0",0,"Fail",66,0.1,1,1,1,1e-05
"67",0,"0",0,"Fail",67,0.1,1,1,1,1e-05
"68",0,"0",0,"Fail",68,0.1,1,1,1,1e-05
"69",0,"0",0,"Fail",69,0.1,1,1,1,1e-05
"70",0,"0",0,"Fail",70,0.1,1,1,1,1e-05
"71",0,"0",0,"Fail",71,0.1,1,1,1,1e-05
"72",0,"0",0,"Fail",72,0.1,1,1,1,1e-05
"73",0,"0",0,"Fail",73,0.1,1,1,1,1e-05
"74",0,"0",0,"Fail",74,0.1,1,1,1,1e-05
"75",0,"0",0,"Fail",75,0.1,1,1,1,1e-05
"76",0,"0",0,"Fail",76,0.1,1,1,1,1e-05
"77",0,"0",0,"Fail",77,0.1,1,1,1,1e-05
"78",0,"0",0,"Fail",78,0.1,1,1,1,1e-05
"79",0,"0",0,"Fail",79,0.1,1,1,1,1e-05
"80",0,"0",0,"Fail",80,0.1,1,1,1,1e-05
"81",0,"0",0,"Fail",81,0.1,1,1,1,1e-05
"82",0,"0",0,"Fail",82,0.1,1,1,1,1e-05
"83",0,"0",0,"Fail",83,0.1,1,1,1,1e-05
"84",0,"0",0,"Fail",84,0.1,1,1,1,1e-05
"85",0,"0",0,"Fail",85,0.1,1,1,1,1e-05
"86",0,"0",0,"Fail",86,0.1,1,1,1,1e-05
"87",0,"0",0,"Fail",87,0.1,1,1,1,1e-05
"88",0,"0",0,"Fail",88,0.1,1,1,1,1e-05
"89",0,"0",0,"Fail",89,0.1,1,1,1,1e-05
"90",0,"0",0,"Fail",90,0.1,1,1,1,1e-05
"91",0,"0",0,"Fail",91,0.1,1,1,1,1e-05
"92",0,"0",0,"Fail",92,0.1,1,1,1,1e-05
"93",0,"0",0,"Fail",93,0.1,1,1,1,1e-05
"94",0,"0",0,"Fail",94,0.1,1,1,1,1e-05
"95",0,"0",0,"Fail",95,0.1,1,1,1,1e-05
"96",0,"0",0,"Fail",96,0.1,1,1,1,1e-05
"97",0,"0",0,"Fail",97,0.1,1,1,1,1e-05
"98",0,"0",0,"Fail",98,0.1,1,1,1,1e-05
"99",0,"0",0,"Fail",99,0.1,1,1,1,1e-05
"100",0,"0",0,"Fail",100,0.1,1,1,1,1e-05
"101",0,"0",0,"Fail",1,0.1,1,1,1,1e-04
"102",0,"0",0,"Fail",2,0.1,1,1,1,1e-04
"103",0,"0",0,"Fail",3,0.1,1,1,1,1e-04
"104",0,"0",0,"Fail",4,0.1,1,1,1,1e-04
"105",0,"0",0,"Fail",5,0.1,1,1,1,1e-04
"106",0,"0",0,"Fail",6,0.1,1,1,1,1e-04
"107",0,"0",0,"Fail",7,0.1,1,1,1,1e-04
"108",0,"0",0,"Fail",8,0.1,1,1,1,1e-04
"109",0,"0",0,"Fail",9,0.1,1,1,1,1e-04
"110",0,"0",0,"Fail",10,0.1,1,1,1,1e-04
"111",0,"0",0,"Fail",11,0.1,1,1,1,1e-04
"112",0,"0",0,"Fail",12,0.1,1,1,1,1e-04
"113",0,"0",0,"Fail",13,0.1,1,1,1,1e-04
"114",0,"0",0,"Fail",14,0.1,1,1,1,1e-04
"115",0,"0",0,"Fail",15,0.1,1,1,1,1e-04
"116",0,"0",0,"Fail",16,0.1,1,1,1,1e-04
"117",0,"0",0,"Fail",17,0.1,1,1,1,1e-04
"118",0,"0",0,"Fail",18,0.1,1,1,1,1e-04
"119",0,"0",0,"Fail",19,0.1,1,1,1,1e-04
"120",0,"0",0,"Fail",20,0.1,1,1,1,1e-04
"121",0,"0",0,"Fail",21,0.1,1,1,1,1e-04
"122",0,"0",0,"Fail",22,0.1,1,1,1,1e-04
"123",0,"0",0,"Fail",23,0.1,1,1,1,1e-04
"124",0,"0",0,"Fail",24,0.1,1,1,1,1e-04
"125",0,"0",0,"Fail",25,0.1,1,1,1,1e-04
"126",0,"0",0,"Fail",26,0.1,1,1,1,1e-04
"127",0,"0",0,"Fail",27,0.1,1,1,1,1e-04
"128",0,"0",0,"Fail",28,0.1,1,1,1,1e-04
"129",0,"0",0,"Fail",29,0.1,1,1,1,1e-04
"130",0,"0",0,"Fail",30,0.1,1,1,1,1e-04
"131",0,"0",0,"Fail",31,0.1,1,1,1,1e-04
"132",0,"0",0,"Fail",32,0.1,1,1,1,1e-04
"133",0,"0",0,"Fail",33,0.1,1,1,1,1e-04
"134",0,"0",0,"Fail",34,0.1,1,1,1,1e-04
"135",0,"0",0,"Fail",35,0.1,1,1,1,1e-04
"136",0,"0",0,"Fail",36,0.1,1,1,1,1e-04
"137",0,"0",0,"Fail",37,0.1,1,1,1,1e-04
"138",0,"0",0,"Fail",38,0.1,1,1,1,1e-04
"139",0,"0",0,"Fail",39,0.1,1,1,1,1e-04
"140",0,"0",0,"Fail",40,0.1,1,1,1,1e-04
"141",0,"0",0,"Fail",41,0.1,1,1,1,1e-04
"142",0,"0",0,"Fail",42,0.1,1,1,1,1e-04
"143",0,"0",0,"Fail",43,0.1,1,1,1,1e-04
"144",0,"0",0,"Fail",44,0.1,1,1,1,1e-04
"145",0,"0",0,"Fail",45,0.1,1,1,1,1e-04
"146",0,"0",0,"Fail",46,0.1,1,1,1,1e-04
"147",0,"0",0,"Fail",47,0.1,1,1,1,1e-04
"148",0,"0",0,"Fail",48,0.1,1,1,1,1e-04
"149",0,"0",0,"Fail",49,0.1,1,1,1,1e-04
"150",0,"0",0,"Fail",50,0.1,1,1,1,1e-04
