"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"1",24.6,"up",11.3886429371772,"success",5,0.1,1,1,1,1
"2",19.8,"up",9.17876616114334,"success",6,0.1,1,1,1,1
"97",42.5,"up",21.5663776237463,"success",5,0.1,1,1,0.5,1
"98",33.5,"up",17.8427485694336,"success",6,0.1,1,1,0.5,1
"99",28.4,"up",15.6308387194102,"success",7,0.1,1,1,0.5,1
"193",62,"up",30.6184542987725,"success",5,0.1,1,1,0.333333333333333,1
"194",48.3,"up",25.8910423048926,"success",6,0.1,1,1,0.333333333333333,1
"195",40.7,"up",22.9265678007526,"success",7,0.1,1,1,0.333333333333333,1
"196",35.8,"up",20.9464937169329,"success",8,0.1,1,1,0.333333333333333,1
"289",NA,"up",0.00471346720435856,"success",5,0.1,1,1,0.2,1
"290",80.8,"up",40.2943903175773,"success",6,0.1,1,1,0.2,1
"291",67.3,"up",36.089800807456,"success",7,0.1,1,1,0.2,1
"292",58.7,"up",33.0749198701116,"success",8,0.1,1,1,0.2,1
"293",52.9,"up",31.0040498943292,"success",9,0.1,1,1,0.2,1
"294",48.5,"up",29.3408248859015,"success",10,0.1,1,1,0.2,1
"1100",0,"0",0,"Fail",1,0.1,1,1,1,1
"2100",0,"0",0,"Fail",2,0.1,1,1,1,1
"3",0,"0",0,"Fail",3,0.1,1,1,1,1
"4",0,"0",0,"Fail",4,0.1,1,1,1,1
"5",0,"0",0,"Fail",1,0.1,1,1,0.5,1
"6",0,"0",0,"Fail",2,0.1,1,1,0.5,1
"7",0,"0",0,"Fail",3,0.1,1,1,0.5,1
"8",0,"0",0,"Fail",4,0.1,1,1,0.5,1
"9",0,"0",0,"Fail",1,0.1,1,1,0.333333333333333,1
"10",0,"0",0,"Fail",2,0.1,1,1,0.333333333333333,1
"11",0,"0",0,"Fail",3,0.1,1,1,0.333333333333333,1
"12",0,"0",0,"Fail",4,0.1,1,1,0.333333333333333,1
"13",0,"0",0,"Fail",1,0.1,1,1,0.2,1
"14",0,"0",0,"Fail",2,0.1,1,1,0.2,1
"15",0,"0",0,"Fail",3,0.1,1,1,0.2,1
"16",0,"0",0,"Fail",4,0.1,1,1,0.2,1
"385",9.25232064009007,"up",3.91997693021045,"mort",7,0.1,1,1,1,1
"410",7.76237731281687,"up",2.90155205723303,"mort",8,0.1,1,1,1,1
"510",6.9002547710247,"up",2.43411518377778,"mort",9,0.1,1,1,1,1
"610",6.25863436577557,"up",1.9834474566407,"mort",10,0.1,1,1,1,1
"710",5.8148369665363,"up",1.77484474144684,"mort",11,0.1,1,1,1,1
"810",5.40287394621196,"up",1.53112619329957,"mort",12,0.1,1,1,1,1
"910",5.13795216717406,"up",1.35851689633342,"mort",13,0.1,1,1,1,1
"1010",4.91295603695757,"up",1.26498383030659,"mort",14,0.1,1,1,1,1
"1110",4.6649624983733,"up",1.06505444842987,"mort",15,0.1,1,1,1,1
"1210",4.44698396757566,"up",0.948501615658252,"mort",16,0.1,1,1,1,1
"1310",4.29212686422627,"up",0.823179131483788,"mort",17,0.1,1,1,1,1
"1410",4.17389528768954,"up",0.783769588018327,"mort",18,0.1,1,1,1,1
"1510",4.07388640186578,"up",0.739536750546175,"mort",19,0.1,1,1,1,1
"1610",3.98092519162166,"up",0.691913941016255,"mort",20,0.1,1,1,1,1
"17",3.88615149208783,"up",0.642152617374811,"mort",21,0.1,1,1,1,1
"18",3.78143776538179,"up",0.590992435132676,"mort",22,0.1,1,1,1,1
