"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"1",32,"up",13.9693067411592,"success",12,0.1,0.25,1,1,1
"2",28.6,"up",12.6807198407159,"success",13,0.1,0.25,1,1,1
"3",26.1,"up",11.6339645951653,"success",14,0.1,0.25,1,1,1
"4",24.1,"up",10.7790083946867,"success",15,0.1,0.25,1,1,1
"5",22.5,"up",10.0760631860295,"success",16,0.1,0.25,1,1,1
"6",21.2,"up",9.4909732262448,"success",17,0.1,0.25,1,1,1
"7",20,"up",8.99411704017206,"success",18,0.1,0.25,1,1,1
"8",19,"up",8.57121402795289,"success",19,0.1,0.25,1,1,1
"9",18.2,"up",8.20869057556867,"success",20,0.1,0.25,1,1,1
"10",17.4,"up",7.89097817708382,"success",21,0.1,0.25,1,1,1
"11",16.7,"up",7.61309226094907,"success",22,0.1,0.25,1,1,1
"12",16.1,"up",7.36866864218838,"success",23,0.1,0.25,1,1,1
"90",30.7,"up",13.7403094233219,"success",7,0.1,0.5,1,1,1
"91",25.6,"up",11.577212598357,"success",8,0.1,0.5,1,1,1
"92",22.3,"up",10.1131532993943,"success",9,0.1,0.5,1,1,1
"93",20,"up",9.08027241692092,"success",10,0.1,0.5,1,1,1
"94",18.2,"up",8.31661284189085,"success",11,0.1,0.5,1,1,1
"95",16.8,"up",7.7351143836975,"success",12,0.1,0.5,1,1,1
"184",24.6,"up",11.3886429371772,"success",5,0.1,1,1,1,1
"185",19.8,"up",9.17876616114334,"success",6,0.1,1,1,1,1
"280",27.8,"up",12.9573382955572,"success",4,0.1,1.25,1,1,1
"281",20.6,"up",9.61619670305329,"success",5,0.1,1.25,1,1,1
"377",23.8,"up",11.1743764686623,"success",4,0.1,1.5,1,1,1
"474",34.7,"up",14.4084991299893,"success",60,0.1,0.25,6,1,1
"475",33.8,"up",14.1587329398557,"success",61,0.1,0.25,6,1,1
"476",33,"up",13.9154016121351,"success",62,0.1,0.25,6,1,1
"477",32.2,"up",13.673407771198,"success",63,0.1,0.25,6,1,1
"478",31.5,"up",13.4406869642623,"success",64,0.1,0.25,6,1,1
"479",30.8,"up",13.2117052061915,"success",65,0.1,0.25,6,1,1
"480",30.2,"up",12.9931128212135,"success",66,0.1,0.25,6,1,1
"481",29.6,"up",12.7793680254737,"success",67,0.1,0.25,6,1,1
"482",29,"up",12.5709069908475,"success",68,0.1,0.25,6,1,1
"483",28.5,"up",12.3731370440994,"success",69,0.1,0.25,6,1,1
"484",28,"up",12.1807302156486,"success",70,0.1,0.25,6,1,1
"485",27.5,"up",11.9938388295431,"success",71,0.1,0.25,6,1,1
"486",27.1,"up",11.8169724466446,"success",72,0.1,0.25,6,1,1
"487",26.7,"up",11.6453106119948,"success",73,0.1,0.25,6,1,1
"488",26.2,"up",11.4745377465735,"success",74,0.1,0.25,6,1,1
"489",25.8,"up",11.3132012026951,"success",75,0.1,0.25,6,1,1
"490",25.5,"up",11.1607528368816,"success",76,0.1,0.25,6,1,1
"491",25.1,"up",11.0090379313161,"success",77,0.1,0.25,6,1,1
"492",24.8,"up",10.8657533336452,"success",78,0.1,0.25,6,1,1
"493",24.4,"up",10.7232114487159,"success",79,0.1,0.25,6,1,1
"494",24.1,"up",10.588543542878,"success",80,0.1,0.25,6,1,1
"495",23.8,"up",10.4579727529523,"success",81,0.1,0.25,6,1,1
"496",23.5,"up",10.3313367849485,"success",82,0.1,0.25,6,1,1
"497",23.2,"up",10.2084649575503,"success",83,0.1,0.25,6,1,1
"498",22.9,"up",10.0892744774539,"success",84,0.1,0.25,6,1,1
"499",22.7,"up",9.97667987415547,"success",85,0.1,0.25,6,1,1
"500",22.4,"up",9.86434536244836,"success",86,0.1,0.25,6,1,1
"501",22.2,"up",9.75818068733026,"success",87,0.1,0.25,6,1,1
"502",21.9,"up",9.65219919202418,"success",88,0.1,0.25,6,1,1
"503",21.7,"up",9.55206791207557,"success",89,0.1,0.25,6,1,1
