"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"693",29.9,"up",14.2560331389818,"success",3,0.1,1,0.5,1,1
"791",26.3,"up",12.3210182835811,"success",4,0.1,1,0.75,1,1
"792",19.7,"up",9.25684110272178,"success",5,0.1,1,0.75,1,1
"888",24.6,"up",11.3886429371772,"success",5,0.1,1,1,1,1
"889",19.8,"up",9.17876616114334,"success",6,0.1,1,1,1,1
"984",30.5,"up",13.6371720566513,"success",7,0.1,1,2,1,1
"985",25.4,"up",11.4833687914457,"success",8,0.1,1,2,1,1
"986",22.2,"up",10.0320248106371,"success",9,0.1,1,2,1,1
"987",19.8,"up",9.00224104595774,"success",10,0.1,1,2,1,1
"988",18.1,"up",8.24690853651198,"success",11,0.1,1,2,1,1
"989",16.7,"up",7.66930065938267,"success",12,0.1,1,2,1,1
"1078",32.5,"up",14.2784120398767,"success",8,0.1,1,2.5,1,1
"1079",27.4,"up",12.2712235216712,"success",9,0.1,1,2.5,1,1
"1080",24.1,"up",10.8278272619201,"success",10,0.1,1,2.5,1,1
"1081",21.7,"up",9.76469866144628,"success",11,0.1,1,2.5,1,1
"1082",19.9,"up",8.95886622798129,"success",12,0.1,1,2.5,1,1
"1083",18.4,"up",8.32794469665424,"success",13,0.1,1,2.5,1,1
"1084",17.2,"up",7.82482920758458,"success",14,0.1,1,2.5,1,1
"1085",16.1,"up",7.41269700604119,"success",15,0.1,1,2.5,1,1
"1171",34.1,"up",14.7397630625631,"success",9,0.1,1,3,1,1
"1172",29.1,"up",12.8988582866521,"success",10,0.1,1,3,1,1
"1173",25.7,"up",11.4921955734036,"success",11,0.1,1,3,1,1
"1174",23.3,"up",10.4229420861861,"success",12,0.1,1,3,1,1
"1175",21.4,"up",9.58844309024399,"success",13,0.1,1,3,1,1
"1176",19.8,"up",8.92217146995352,"success",14,0.1,1,3,1,1
"1177",18.6,"up",8.38497202771916,"success",15,0.1,1,3,1,1
"1178",17.5,"up",7.93911898426006,"success",16,0.1,1,3,1,1
"1179",16.6,"up",7.5670390294458,"success",17,0.1,1,3,1,1
"1263",30.5,"up",13.4009427983941,"success",11,0.1,1,3.5,1,1
"1264",27.1,"up",12.0522877931198,"success",12,0.1,1,3.5,1,1
"1265",24.6,"up",10.9903811959303,"success",13,0.1,1,3.5,1,1
"1266",22.7,"up",10.1461701279438,"success",14,0.1,1,3.5,1,1
"1267",21.1,"up",9.46020533736335,"success",15,0.1,1,3.5,1,1
"1268",19.8,"up",8.89666949628124,"success",16,0.1,1,3.5,1,1
"1269",18.7,"up",8.42606932473318,"success",17,0.1,1,3.5,1,1
"1270",17.8,"up",8.02919656705252,"success",18,0.1,1,3.5,1,1
"1271",17,"up",7.68942413645231,"success",19,0.1,1,3.5,1,1
"1272",16.2,"up",7.39380636101592,"success",20,0.1,1,3.5,1,1
"1353",31.7,"up",13.8082316510328,"success",12,0.1,1,4,1,1
"1354",28.4,"up",12.5314206984082,"success",13,0.1,1,4,1,1
"1355",25.9,"up",11.4914530916222,"success",14,0.1,1,4,1,1
"1356",23.9,"up",10.6436656529363,"success",15,0.1,1,4,1,1
"1357",22.3,"up",9.94738508515415,"success",16,0.1,1,4,1,1
"1358",21,"up",9.36814951965624,"success",17,0.1,1,4,1,1
"1359",19.8,"up",8.87669142636474,"success",18,0.1,1,4,1,1
"1360",18.9,"up",8.46103199031649,"success",19,0.1,1,4,1,1
"1361",18,"up",8.09980611417137,"success",20,0.1,1,4,1,1
"1362",17.2,"up",7.7857101866704,"success",21,0.1,1,4,1,1
"1363",16.6,"up",7.51340430632327,"success",22,0.1,1,4,1,1
"1364",15.9,"up",7.2691104477119,"success",23,0.1,1,4,1,1
"1442",33.8,"up",14.4275526417824,"success",14,0.1,1,5,1,1
"1443",30.5,"up",13.2882377426278,"success",15,0.1,1,5,1,1
"1444",27.9,"up",12.3074108285726,"success",16,0.1,1,5,1,1
"1445",25.9,"up",11.4826827882047,"success",17,0.1,1,5,1,1
"1446",24.3,"up",10.785930881983,"success",18,0.1,1,5,1,1
"1447",22.9,"up",10.1897393110811,"success",19,0.1,1,5,1,1
"1448",21.8,"up",9.68055224839293,"success",20,0.1,1,5,1,1
"1449",20.7,"up",9.23478504577599,"success",21,0.1,1,5,1,1
"1450",19.8,"up",8.84741896455123,"success",22,0.1,1,5,1,1
"1451",19,"up",8.50652432385177,"success",23,0.1,1,5,1,1
"1452",18.3,"up",8.20503837649285,"success",24,0.1,1,5,1,1
"1453",17.7,"up",7.9371315780182,"success",25,0.1,1,5,1,1
"1454",17.1,"up",7.69576115888327,"success",26,0.1,1,5,1,1
"1455",16.5,"up",7.47740744993598,"success",27,0.1,1,5,1,1
"1456",16,"up",7.28105790463956,"success",28,0.1,1,5,1,1
"1529",34.5,"up",14.4672150136462,"success",26,0.1,1,10,1,1
