"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"1",35.4,"up",14.6949702656383,"success",50,0.1,0.05,1,1,1
"2",34.3,"up",14.3940375600653,"success",51,0.1,0.05,1,1,1
"3",33.3,"up",14.0985891731645,"success",52,0.1,0.05,1,1,1
"4",32.4,"up",13.8116699388162,"success",53,0.1,0.05,1,1,1
"5",31.5,"up",13.5287023754164,"success",54,0.1,0.05,1,1,1
"6",30.7,"up",13.2578837510104,"success",55,0.1,0.05,1,1,1
"7",30,"up",12.9997096418302,"success",56,0.1,0.05,1,1,1
"8",29.3,"up",12.7486452481104,"success",57,0.1,0.05,1,1,1
"9",28.7,"up",12.5106675515604,"success",58,0.1,0.05,1,1,1
"10",28.1,"up",12.2802906479896,"success",59,0.1,0.05,1,1,1
"11",27.5,"up",12.057653302078,"success",60,0.1,0.05,1,1,1
"12",27,"up",11.8475587370923,"success",61,0.1,0.05,1,1,1
"13",26.5,"up",11.6447802470934,"success",62,0.1,0.05,1,1,1
"14",26,"up",11.449281344329,"success",63,0.1,0.05,1,1,1
"15",25.6,"up",11.2650063901148,"success",64,0.1,0.05,1,1,1
"16",25.2,"up",11.0873366098455,"success",65,0.1,0.05,1,1,1
"17",24.7,"up",10.9121115358604,"success",66,0.1,0.05,1,1,1
"18",24.4,"up",10.7508375772561,"success",67,0.1,0.05,1,1,1
"19",24,"up",10.591615648905,"success",68,0.1,0.05,1,1,1
"20",23.6,"up",10.4380381027821,"success",69,0.1,0.05,1,1,1
"21",23.3,"up",10.2933671423391,"success",70,0.1,0.05,1,1,1
"22",23,"up",10.1537483577975,"success",71,0.1,0.05,1,1,1
"23",22.6,"up",10.0156469278845,"success",72,0.1,0.05,1,1,1
"24",22.3,"up",9.88550865997285,"success",73,0.1,0.05,1,1,1
"25",22,"up",9.7598084305308,"success",74,0.1,0.05,1,1,1
"26",21.8,"up",9.64130428852089,"success",75,0.1,0.05,1,1,1
"27",21.5,"up",9.523713348407,"success",76,0.1,0.05,1,1,1
"28",21.2,"up",9.41002184327957,"success",77,0.1,0.05,1,1,1
"29",21,"up",9.30285509417972,"success",78,0.1,0.05,1,1,1
"30",20.7,"up",9.19628343162663,"success",79,0.1,0.05,1,1,1
"31",20.5,"up",9.09578981316836,"success",80,0.1,0.05,1,1,1
"32",20.3,"up",8.99844564654658,"success",81,0.1,0.05,1,1,1
"33",20,"up",8.90148701307808,"success",82,0.1,0.05,1,1,1
