"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"19",20.8,"up",35.8037169177532,"success",35,0.1,1,1,1,0.25
"20",20.4,"up",35.5416756798406,"success",36,0.1,1,1,1,0.25
"21",19.9,"up",35.201379505517,"success",37,0.1,1,1,1,0.25
"22",19.5,"up",34.9360211717116,"success",38,0.1,1,1,1,0.25
"23",19.2,"up",34.7458446886667,"success",39,0.1,1,1,1,0.25
"24",18.8,"up",34.4776639839616,"success",40,0.1,1,1,1,0.25
"25",18.4,"up",34.2084501345168,"success",41,0.1,1,1,1,0.25
"85",30.1,"up",41.9801880001405,"success",18,0.1,1,1,1,0.5
"86",28.4,"up",40.745253019697,"success",19,0.1,1,1,1,0.5
"87",27,"up",39.7366535642455,"success",20,0.1,1,1,1,0.5
"88",25.7,"up",38.8059627466592,"success",21,0.1,1,1,1,0.5
"89",24.6,"up",38.0272526446306,"success",22,0.1,1,1,1,0.5
"90",23.6,"up",37.3264372709528,"success",23,0.1,1,1,1,0.5
"91",22.8,"up",36.7746782144284,"success",24,0.1,1,1,1,0.5
"92",22,"up",36.2269481724909,"success",25,0.1,1,1,1,0.5
"93",21.3,"up",35.7545592252868,"success",26,0.1,1,1,1,0.5
"94",20.6,"up",35.285932763225,"success",27,0.1,1,1,1,0.5
"95",20,"up",34.8910656568727,"success",28,0.1,1,1,1,0.5
"96",19.5,"up",34.5685871169048,"success",29,0.1,1,1,1,0.5
"97",19,"up",34.2483686724364,"success",30,0.1,1,1,1,0.5
"98",18.5,"up",33.9303428013868,"success",31,0.1,1,1,1,0.5
"99",18.1,"up",33.6827497548939,"success",32,0.1,1,1,1,0.5
"168",36.7,"up",46.1887848945466,"success",13,0.1,1,1,1,0.75
"169",33.5,"up",43.7875360125425,"success",14,0.1,1,1,1,0.75
"170",30.9,"up",41.8548385075647,"success",15,0.1,1,1,1,0.75
"171",28.9,"up",40.3881870147927,"success",16,0.1,1,1,1,0.75
"172",27.2,"up",39.1639596480983,"success",17,0.1,1,1,1,0.75
"173",25.7,"up",38.1073355418508,"success",18,0.1,1,1,1,0.75
"174",24.5,"up",37.2805792411543,"success",19,0.1,1,1,1,0.75
"175",23.4,"up",36.5414684431775,"success",20,0.1,1,1,1,0.75
"176",22.4,"up",35.8868788875113,"success",21,0.1,1,1,1,0.75
"177",21.6,"up",35.3765941757148,"success",22,0.1,1,1,1,0.75
"178",20.8,"up",34.8788283059776,"success",23,0.1,1,1,1,0.75
"179",20.1,"up",34.4546744953199,"success",24,0.1,1,1,1,0.75
"180",19.5,"up",34.1007585729979,"success",25,0.1,1,1,1,0.75
"181",18.9,"up",33.7541713324453,"success",26,0.1,1,1,1,0.75
"256",46.1,"up",52.2284824485539,"success",10,0.1,1,1,1,1
"257",40,"up",47.6552890177788,"success",11,0.1,1,1,1,1
"258",35.7,"up",44.43087172806,"success",12,0.1,1,1,1,1
"259",32.5,"up",42.064408753066,"success",13,0.1,1,1,1,1
"260",30,"up",40.2597813571984,"success",14,0.1,1,1,1,1
"261",28,"up",38.860004184528,"success",15,0.1,1,1,1,1
"262",26.3,"up",37.7142167288011,"success",16,0.1,1,1,1,1
"263",24.9,"up",36.8060808682315,"success",17,0.1,1,1,1,1
"264",23.6,"up",35.9997200062212,"success",18,0.1,1,1,1,1
"265",22.6,"up",35.4019354660046,"success",19,0.1,1,1,1,1
"266",21.6,"up",34.8298778170321,"success",20,0.1,1,1,1,1
"267",20.8,"up",34.3893608186972,"success",21,0.1,1,1,1,1
"268",20,"up",33.9655149611914,"success",22,0.1,1,1,1,1
"347",NA,"up",11.5487442427595,"success",6,0.1,1,1,1,2
"348",78.9,"up",62.6859211247699,"success",7,0.1,1,1,1,2
"349",53.4,"up",50.0790784766033,"success",8,0.1,1,1,1,2
"350",43.4,"up",44.1098643951644,"success",9,0.1,1,1,1,2
"351",37.4,"up",40.6106639131136,"success",10,0.1,1,1,1,2
"352",33.3,"up",38.4126977451052,"success",11,0.1,1,1,1,2
"353",30.2,"up",36.9260672118072,"success",12,0.1,1,1,1,2
"354",27.8,"up",35.8991764922607,"success",13,0.1,1,1,1,2
"355",25.9,"up",35.1662023986544,"success",14,0.1,1,1,1,2
"442",NA,"up",11.4474142585045,"success",5,0.1,1,1,1,2.5
"443",NA,"up",12.0317406367673,"success",6,0.1,1,1,1,2.5
"444",76.8,"up",54.6221847104904,"success",7,0.1,1,1,1,2.5
"445",52.2,"up",45.3113795975484,"success",8,0.1,1,1,1,2.5
"446",42.4,"up",40.8286696960076,"success",9,0.1,1,1,1,2.5
"447",36.6,"up",38.3216798182065,"success",10,0.1,1,1,1,2.5
"448",32.5,"up",36.761770133328,"success",11,0.1,1,1,1,2.5
"449",29.5,"up",35.7670862077468,"success",12,0.1,1,1,1,2.5
"538",NA,"up",11.8167762877934,"success",5,0.1,1,1,1,3
"539",NA,"up",12.405368365647,"success",6,0.1,1,1,1,3
"540",76.5,"up",48.1466680648075,"success",7,0.1,1,1,1,3
"541",51.8,"up",41.9605699933179,"success",8,0.1,1,1,1,3
"542",42,"up",38.806219415206,"success",9,0.1,1,1,1,3
"543",36.1,"up",37.0217495982165,"success",10,0.1,1,1,1,3
"544",32,"up",35.9389738861554,"success",11,0.1,1,1,1,3
"634",NA,"up",12.1129313064955,"success",5,0.1,1,1,1,3.5
"635",NA,"up",12.7046267187487,"success",6,0.1,1,1,1,3.5
"636",76.6,"up",43.7436513709667,"success",7,0.1,1,1,1,3.5
"637",51.7,"up",39.827589947694,"success",8,0.1,1,1,1,3.5
"638",41.7,"up",37.6162289140645,"success",9,0.1,1,1,1,3.5
"639",35.8,"up",36.3636983665977,"success",10,0.1,1,1,1,3.5
"730",NA,"up",11.6374110033947,"success",4,0.1,1,1,1,4
"731",NA,"up",12.3565222810722,"success",5,0.1,1,1,1,4
"732",NA,"up",12.9505702662606,"success",6,0.1,1,1,1,4
"733",76.7,"up",41.0936518338007,"success",7,0.1,1,1,1,4
"734",51.6,"up",38.5523305058229,"success",8,0.1,1,1,1,4
"735",41.5,"up",36.9799919901797,"success",9,0.1,1,1,1,4
"827",NA,"up",12.0110523655831,"success",4,0.1,1,1,1,5
