"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"1",46.4,"up",52.194573861347,"success",35,0.1,0.25,1,1,1
"2",44.4,"up",50.7164981394504,"success",36,0.1,0.25,1,1,1
"3",42.7,"up",49.4554030318045,"success",37,0.1,0.25,1,1,1
"4",41.2,"up",48.3394099875576,"success",38,0.1,0.25,1,1,1
"5",39.8,"up",47.2962656391989,"success",39,0.1,0.25,1,1,1
"6",38.5,"up",46.327797713981,"success",40,0.1,0.25,1,1,1
"7",37.4,"up",45.5081041877107,"success",41,0.1,0.25,1,1,1
"8",36.3,"up",44.6911890599899,"success",42,0.1,0.25,1,1,1
"9",35.4,"up",44.0227198536405,"success",43,0.1,0.25,1,1,1
"10",34.5,"up",43.3577325539087,"success",44,0.1,0.25,1,1,1
"11",33.6,"up",42.6972205510183,"success",45,0.1,0.25,1,1,1
"12",32.8,"up",42.1125848768229,"success",46,0.1,0.25,1,1,1
"13",32.1,"up",41.6027329964521,"success",47,0.1,0.25,1,1,1
"14",31.4,"up",41.0973210290675,"success",48,0.1,0.25,1,1,1
"15",30.7,"up",40.5969169555218,"success",49,0.1,0.25,1,1,1
"16",30.1,"up",40.1697230455586,"success",50,0.1,0.25,1,1,1
"17",29.6,"up",39.8143470007487,"success",51,0.1,0.25,1,1,1
"18",29,"up",39.3957415221072,"success",52,0.1,0.25,1,1,1
"19",28.5,"up",39.0482251721249,"success",53,0.1,0.25,1,1,1
"20",28,"up",38.7046444958871,"success",54,0.1,0.25,1,1,1
"21",27.5,"up",38.3651838062939,"success",55,0.1,0.25,1,1,1
"22",27.1,"up",38.0940866425767,"success",56,0.1,0.25,1,1,1
"23",26.6,"up",37.7625831520121,"success",57,0.1,0.25,1,1,1
"24",26.2,"up",37.4983203673328,"success",58,0.1,0.25,1,1,1
"25",25.8,"up",37.2373326538208,"success",59,0.1,0.25,1,1,1
"26",25.5,"up",37.0413184190035,"success",60,0.1,0.25,1,1,1
"27",25.1,"up",36.7862673866787,"success",61,0.1,0.25,1,1,1
"28",24.8,"up",36.5952429010645,"success",62,0.1,0.25,1,1,1
"29",24.4,"up",36.3462579361771,"success",63,0.1,0.25,1,1,1
"30",24.1,"up",36.1601027926966,"success",64,0.1,0.25,1,1,1
"31",23.8,"up",35.9761849932849,"success",65,0.1,0.25,1,1,1
"32",23.5,"up",35.7944765071706,"success",66,0.1,0.25,1,1,1
"33",23.2,"up",35.6149640479936,"success",67,0.1,0.25,1,1,1
"34",22.9,"up",35.4376608945536,"success",68,0.1,0.25,1,1,1
"35",22.7,"up",35.3195213054911,"success",69,0.1,0.25,1,1,1
"36",22.4,"up",35.1459137400341,"success",70,0.1,0.25,1,1,1
"37",22.1,"up",34.974578089478,"success",71,0.1,0.25,1,1,1
"38",21.9,"up",34.8607567063508,"success",72,0.1,0.25,1,1,1
"39",21.7,"up",34.7482577244968,"success",73,0.1,0.25,1,1,1
"40",21.4,"up",34.5820229263254,"success",74,0.1,0.25,1,1,1
"41",21.2,"up",34.4721036725982,"success",75,0.1,0.25,1,1,1
"42",21,"up",34.3633447009153,"success",76,0.1,0.25,1,1,1
"43",20.8,"up",34.2556971040667,"success",77,0.1,0.25,1,1,1
"44",20.6,"up",34.1491232916891,"success",78,0.1,0.25,1,1,1
"45",20.4,"up",34.0435940060318,"success",79,0.1,0.25,1,1,1
"46",20.2,"up",33.9390874864989,"success",80,0.1,0.25,1,1,1
"47",20,"up",33.8355889823699,"success",81,0.1,0.25,1,1,1
"48",19.8,"up",33.7330893752189,"success",82,0.1,0.25,1,1,1
"49",19.7,"up",33.6834261076074,"success",83,0.1,0.25,1,1,1
"50",19.5,"up",33.582368724202,"success",84,0.1,0.25,1,1,1
"51",19.3,"up",33.482285596989,"success",85,0.1,0.25,1,1,1
"67",47.6,"up",53.1708744671848,"success",18,0.1,0.5,1,1,1
"68",43.8,"up",50.3566732459012,"success",19,0.1,0.5,1,1,1
"69",40.8,"up",48.1180771117563,"success",20,0.1,0.5,1,1,1
"70",38.2,"up",46.1750773531778,"success",21,0.1,0.5,1,1,1
"71",36.1,"up",44.6089164516428,"success",22,0.1,0.5,1,1,1
"72",34.3,"up",43.2744660234638,"success",23,0.1,0.5,1,1,1
"73",32.7,"up",42.1001157483602,"success",24,0.1,0.5,1,1,1
"74",31.3,"up",41.0848172666503,"success",25,0.1,0.5,1,1,1
"75",30.1,"up",40.2254199269665,"success",26,0.1,0.5,1,1,1
"76",29,"up",39.4507976869014,"success",27,0.1,0.5,1,1,1
"77",28,"up",38.7591306362283,"success",28,0.1,0.5,1,1,1
"78",27.1,"up",38.1480134031173,"success",29,0.1,0.5,1,1,1
"79",26.3,"up",37.6146624842582,"success",30,0.1,0.5,1,1,1
"80",25.5,"up",37.0940978125922,"success",31,0.1,0.5,1,1,1
"81",24.8,"up",36.647366845659,"success",32,0.1,0.5,1,1,1
"82",24.1,"up",36.2117021752668,"success",33,0.1,0.5,1,1,1
"83",23.5,"up",35.8453419402523,"success",34,0.1,0.5,1,1,1
"84",23,"up",35.5451710259518,"success",35,0.1,0.5,1,1,1
"85",22.5,"up",35.2518193846609,"success",36,0.1,0.5,1,1,1
"86",22,"up",34.9649225663594,"success",37,0.1,0.5,1,1,1
"87",21.5,"up",34.6843407940753,"success",38,0.1,0.5,1,1,1
"88",21.1,"up",34.4641741043628,"success",39,0.1,0.5,1,1,1
"89",20.7,"up",34.2483915413256,"success",40,0.1,0.5,1,1,1
"90",20.3,"up",34.0367251482641,"success",41,0.1,0.5,1,1,1
"91",19.9,"up",33.8290488016683,"success",42,0.1,0.5,1,1,1
"92",19.6,"up",33.6770436637101,"success",43,0.1,0.5,1,1,1
"150",46.1,"up",52.2284824485539,"success",10,0.1,1,1,1,1
"151",40,"up",47.6552890177788,"success",11,0.1,1,1,1,1
"152",35.7,"up",44.43087172806,"success",12,0.1,1,1,1,1
"153",32.5,"up",42.064408753066,"success",13,0.1,1,1,1,1
"154",30,"up",40.2597813571984,"success",14,0.1,1,1,1,1
"155",28,"up",38.860004184528,"success",15,0.1,1,1,1,1
"156",26.3,"up",37.7142167288011,"success",16,0.1,1,1,1,1
"157",24.9,"up",36.8060808682315,"success",17,0.1,1,1,1,1
"158",23.6,"up",35.9997200062212,"success",18,0.1,1,1,1,1
"159",22.6,"up",35.4019354660046,"success",19,0.1,1,1,1,1
"160",21.6,"up",34.8298778170321,"success",20,0.1,1,1,1,1
"161",20.8,"up",34.3893608186972,"success",21,0.1,1,1,1,1
"162",20,"up",33.9655149611914,"success",22,0.1,1,1,1,1
"241",40.8,"up",48.3206342245275,"success",9,0.1,1.25,1,1,1
"242",35.5,"up",44.3361848874946,"success",10,0.1,1.25,1,1,1
"243",31.7,"up",41.5326985348973,"success",11,0.1,1.25,1,1,1
"244",28.9,"up",39.53263813918,"success",12,0.1,1.25,1,1,1
