"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"495",30.3,"up",41.6014544082379,"success",3,0.1,1,0.1,1,1
"593",39.9,"up",48.1666458679542,"success",4,0.1,1,0.25,1,1
"594",29.3,"up",40.2635253004483,"success",5,0.1,1,0.25,1,1
"595",23.9,"up",36.6630246721622,"success",6,0.1,1,0.25,1,1
"690",43.6,"up",50.6184094675282,"success",6,0.1,1,0.5,1,1
"691",34.9,"up",44.0443332395855,"success",7,0.1,1,0.5,1,1
"692",29.8,"up",40.3099359749858,"success",8,0.1,1,0.5,1,1
"693",26.3,"up",37.9005259339188,"success",9,0.1,1,0.5,1,1
"694",23.8,"up",36.3000130970413,"success",10,0.1,1,0.5,1,1
"695",21.8,"up",35.1156985055629,"success",11,0.1,1,0.5,1,1
"785",45.1,"up",51.5793339047174,"success",8,0.1,1,0.75,1,1
"786",38,"up",46.2325044328488,"success",9,0.1,1,0.75,1,1
"787",33.3,"up",42.7232259972401,"success",10,0.1,1,0.75,1,1
"788",29.9,"up",40.2579776869222,"success",11,0.1,1,0.75,1,1
"789",27.4,"up",38.5162168930688,"success",12,0.1,1,0.75,1,1
"790",25.3,"up",37.1281494180083,"success",13,0.1,1,0.75,1,1
"791",23.7,"up",36.1220911885969,"success",14,0.1,1,0.75,1,1
"792",22.3,"up",35.2890252869286,"success",15,0.1,1,0.75,1,1
"793",21.1,"up",34.6118746961816,"success",16,0.1,1,0.75,1,1
"878",46.1,"up",52.2284824485539,"success",10,0.1,1,1,1,1
"879",40,"up",47.6552890177788,"success",11,0.1,1,1,1,1
"880",35.7,"up",44.43087172806,"success",12,0.1,1,1,1,1
"881",32.5,"up",42.064408753066,"success",13,0.1,1,1,1,1
"882",30,"up",40.2597813571984,"success",14,0.1,1,1,1,1
"883",28,"up",38.860004184528,"success",15,0.1,1,1,1,1
"884",26.3,"up",37.7142167288011,"success",16,0.1,1,1,1,1
"885",24.9,"up",36.8060808682315,"success",17,0.1,1,1,1,1
"886",23.6,"up",35.9997200062212,"success",18,0.1,1,1,1,1
"887",22.6,"up",35.4019354660046,"success",19,0.1,1,1,1,1
"888",21.6,"up",34.8298778170321,"success",20,0.1,1,1,1,1
"889",20.8,"up",34.3893608186972,"success",21,0.1,1,1,1,1
"890",20,"up",33.9655149611914,"success",22,0.1,1,1,1,1
"969",47.6,"up",53.1672124061868,"success",18,0.1,1,2,1,1
"970",43.8,"up",50.3525659342056,"success",19,0.1,1,2,1,1
"971",40.7,"up",48.039319826415,"success",20,0.1,1,2,1,1
"972",38.2,"up",46.1702657194847,"success",21,0.1,1,2,1,1
"973",36.1,"up",44.603865010576,"success",22,0.1,1,2,1,1
"974",34.3,"up",43.2692157630416,"success",23,0.1,1,2,1,1
"975",32.7,"up",42.0946752592983,"success",24,0.1,1,2,1,1
"976",31.3,"up",41.0792341764719,"success",25,0.1,1,2,1,1
"977",30.1,"up",40.2197697283615,"success",26,0.1,1,2,1,1
"978",29,"up",39.4450816608937,"success",27,0.1,1,2,1,1
"979",28,"up",38.7533667634684,"success",28,0.1,1,2,1,1
"980",27.1,"up",38.1422348794815,"success",29,0.1,1,2,1,1
"981",26.2,"up",37.5459480537633,"success",30,0.1,1,2,1,1
"982",25.5,"up",37.0883186638295,"success",31,0.1,1,2,1,1
"983",24.8,"up",36.6416181813585,"success",32,0.1,1,2,1,1
"984",24.1,"up",36.2059436400186,"success",33,0.1,1,2,1,1
"985",23.5,"up",35.8396364761956,"success",34,0.1,1,2,1,1
"986",23,"up",35.5395851434834,"success",35,0.1,1,2,1,1
"987",22.4,"up",35.189665074726,"success",36,0.1,1,2,1,1
"988",21.9,"up",34.9037649565696,"success",37,0.1,1,2,1,1
"989",21.5,"up",34.6789515038656,"success",38,0.1,1,2,1,1
"990",21.1,"up",34.4589002991869,"success",39,0.1,1,2,1,1
"991",20.6,"up",34.1896489261595,"success",40,0.1,1,2,1,1
"992",20.3,"up",34.0316120963332,"success",41,0.1,1,2,1,1
"993",19.9,"up",33.8239895434108,"success",42,0.1,1,2,1,1
"994",19.5,"up",33.6203146415475,"success",43,0.1,1,2,1,1
"1052",47.9,"up",53.348592494608,"success",22,0.1,1,2.5,1,1
"1053",44.7,"up",50.9864795643317,"success",23,0.1,1,2.5,1,1
"1054",42.1,"up",49.0528665604523,"success",24,0.1,1,2.5,1,1
"1055",39.8,"up",47.3362378807673,"success",25,0.1,1,2.5,1,1
"1056",37.9,"up",45.9171847420231,"success",26,0.1,1,2.5,1,1
"1057",36.2,"up",44.6508619649651,"success",27,0.1,1,2.5,1,1
"1058",34.7,"up",43.5388677179599,"success",28,0.1,1,2.5,1,1
"1059",33.3,"up",42.5100041202292,"success",29,0.1,1,2.5,1,1
"1060",32.1,"up",41.6348521884975,"success",30,0.1,1,2.5,1,1
"1061",31.1,"up",40.9102947629566,"success",31,0.1,1,2.5,1,1
"1062",30.1,"up",40.1967129799833,"success",32,0.1,1,2.5,1,1
"1063",29.2,"up",39.5624066314515,"success",33,0.1,1,2.5,1,1
"1064",28.4,"up",39.0054574363723,"success",34,0.1,1,2.5,1,1
"1065",27.6,"up",38.4586562929204,"success",35,0.1,1,2.5,1,1
"1066",26.9,"up",37.9865563702138,"success",36,0.1,1,2.5,1,1
"1067",26.2,"up",37.5236741924061,"success",37,0.1,1,2.5,1,1
"1068",25.6,"up",37.1321133750293,"success",38,0.1,1,2.5,1,1
"1069",25,"up",36.7483094057115,"success",39,0.1,1,2.5,1,1
"1070",24.5,"up",36.4322881024315,"success",40,0.1,1,2.5,1,1
"1071",24,"up",36.1223334491966,"success",41,0.1,1,2.5,1,1
"1072",23.5,"up",35.8183682190164,"success",42,0.1,1,2.5,1,1
"1073",23,"up",35.5204600127899,"success",43,0.1,1,2.5,1,1
"1074",22.6,"up",35.2850667636848,"success",44,0.1,1,2.5,1,1
"1075",22.2,"up",35.0539859155656,"success",45,0.1,1,2.5,1,1
"1076",21.8,"up",34.8270795545058,"success",46,0.1,1,2.5,1,1
"1077",21.5,"up",34.6590913465201,"success",47,0.1,1,2.5,1,1
"1078",21.1,"up",34.4393997882017,"success",48,0.1,1,2.5,1,1
"1079",20.8,"up",34.277270314791,"success",49,0.1,1,2.5,1,1
"1080",20.5,"up",34.117705889357,"success",50,0.1,1,2.5,1,1
"1081",20.2,"up",33.9605363497185,"success",51,0.1,1,2.5,1,1
"1082",19.9,"up",33.8056518279899,"success",52,0.1,1,2.5,1,1
"1083",19.6,"up",33.6529750100844,"success",53,0.1,1,2.5,1,1
"1131",45.4,"up",51.4809788719464,"success",27,0.1,1,3,1,1
"1132",43,"up",49.7005576018651,"success",28,0.1,1,3,1,1
"1133",41,"up",48.2109561815543,"success",29,0.1,1,3,1,1
"1134",39.2,"up",46.868083953472,"success",30,0.1,1,3,1,1
"1135",37.6,"up",45.6751650196505,"success",31,0.1,1,3,1,1
"1136",36.2,"up",44.6333846807873,"success",32,0.1,1,3,1,1
"1137",34.9,"up",43.6706781059891,"success",33,0.1,1,3,1,1
"1138",33.8,"up",42.8587092968608,"success",34,0.1,1,3,1,1
"1139",32.7,"up",42.0547670665838,"success",35,0.1,1,3,1,1
"1140",31.8,"up",41.3993647033934,"success",36,0.1,1,3,1,1
"1141",30.9,"up",40.7518401975626,"success",37,0.1,1,3,1,1
"1142",30.1,"up",40.1810446194836,"success",38,0.1,1,3,1,1
"1143",29.3,"up",39.6183195793685,"success",39,0.1,1,3,1,1
"1144",28.6,"up",39.1304226574069,"success",40,0.1,1,3,1,1
"1145",28,"up",38.7153992444699,"success",41,0.1,1,3,1,1
"1146",27.3,"up",38.2421039891361,"success",42,0.1,1,3,1,1
"1147",26.8,"up",37.904247171064,"success",43,0.1,1,3,1,1
"1148",26.2,"up",37.5085977489767,"success",44,0.1,1,3,1,1
"1149",25.7,"up",37.18187841325,"success",45,0.1,1,3,1,1
"1150",25.2,"up",36.8605095832744,"success",46,0.1,1,3,1,1
"1151",24.7,"up",36.5446113593325,"success",47,0.1,1,3,1,1
"1152",24.3,"up",36.2937488464719,"success",48,0.1,1,3,1,1
"1153",23.9,"up",36.0469228927451,"success",49,0.1,1,3,1,1
"1154",23.5,"up",35.8040293606926,"success",50,0.1,1,3,1,1
"1155",23.1,"up",35.5650456097524,"success",51,0.1,1,3,1,1
"1156",22.7,"up",35.3300088258182,"success",52,0.1,1,3,1,1
