"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"1",48.2,"up",53.454000170236,"success",83,0.1,0.1,1,1,1
"2",47.3,"up",52.7960106096541,"success",84,0.1,0.1,1,1,1
"3",46.4,"up",52.135126913187,"success",85,0.1,0.1,1,1,1
"4",45.6,"up",51.5469873836932,"success",86,0.1,0.1,1,1,1
"5",44.8,"up",50.9569440510968,"success",87,0.1,0.1,1,1,1
"6",44.1,"up",50.4402815622403,"success",88,0.1,0.1,1,1,1
"7",43.4,"up",49.9223564727229,"success",89,0.1,0.1,1,1,1
"8",42.7,"up",49.4034968786195,"success",90,0.1,0.1,1,1,1
"9",42.1,"up",48.9585310370262,"success",91,0.1,0.1,1,1,1
"10",41.5,"up",48.5129726910085,"success",92,0.1,0.1,1,1,1
"11",40.9,"up",48.0670330129409,"success",93,0.1,0.1,1,1,1
"12",40.3,"up",47.6209478578782,"success",94,0.1,0.1,1,1,1
"13",39.8,"up",47.2488911139889,"success",95,0.1,0.1,1,1,1
"14",39.2,"up",46.8029833931642,"success",96,0.1,0.1,1,1,1
"15",38.7,"up",46.4311002499057,"success",97,0.1,0.1,1,1,1
"16",38.2,"up",46.0594896375316,"success",98,0.1,0.1,1,1,1
"17",37.8,"up",45.7614563093147,"success",99,0.1,0.1,1,1,1
"18",37.3,"up",45.3905611802933,"success",100,0.1,0.1,1,1,1
"19",46.4,"up",52.194573861347,"success",35,0.1,0.25,1,1,1
"20",44.4,"up",50.7164981394504,"success",36,0.1,0.25,1,1,1
"21",42.7,"up",49.4554030318045,"success",37,0.1,0.25,1,1,1
"22",41.2,"up",48.3394099875576,"success",38,0.1,0.25,1,1,1
"23",39.8,"up",47.2962656391989,"success",39,0.1,0.25,1,1,1
"24",38.5,"up",46.327797713981,"success",40,0.1,0.25,1,1,1
"25",37.4,"up",45.5081041877107,"success",41,0.1,0.25,1,1,1
"26",36.3,"up",44.6911890599899,"success",42,0.1,0.25,1,1,1
"27",35.4,"up",44.0227198536405,"success",43,0.1,0.25,1,1,1
"28",34.5,"up",43.3577325539087,"success",44,0.1,0.25,1,1,1
"29",33.6,"up",42.6972205510183,"success",45,0.1,0.25,1,1,1
"30",32.8,"up",42.1125848768229,"success",46,0.1,0.25,1,1,1
"31",32.1,"up",41.6027329964521,"success",47,0.1,0.25,1,1,1
"32",31.4,"up",41.0973210290675,"success",48,0.1,0.25,1,1,1
"33",30.7,"up",40.5969169555218,"success",49,0.1,0.25,1,1,1
"34",30.1,"up",40.1697230455586,"success",50,0.1,0.25,1,1,1
"35",29.6,"up",39.8143470007487,"success",51,0.1,0.25,1,1,1
"36",29,"up",39.3957415221072,"success",52,0.1,0.25,1,1,1
"37",28.5,"up",39.0482251721249,"success",53,0.1,0.25,1,1,1
"38",28,"up",38.7046444958871,"success",54,0.1,0.25,1,1,1
"39",27.5,"up",38.3651838062939,"success",55,0.1,0.25,1,1,1
"40",27.1,"up",38.0940866425767,"success",56,0.1,0.25,1,1,1
"41",26.6,"up",37.7625831520121,"success",57,0.1,0.25,1,1,1
"42",26.2,"up",37.4983203673328,"success",58,0.1,0.25,1,1,1
"43",25.8,"up",37.2373326538208,"success",59,0.1,0.25,1,1,1
"44",25.5,"up",37.0413184190035,"success",60,0.1,0.25,1,1,1
"45",25.1,"up",36.7862673866787,"success",61,0.1,0.25,1,1,1
"46",24.8,"up",36.5952429010645,"success",62,0.1,0.25,1,1,1
"47",24.4,"up",36.3462579361771,"success",63,0.1,0.25,1,1,1
"48",24.1,"up",36.1601027926966,"success",64,0.1,0.25,1,1,1
"49",23.8,"up",35.9761849932849,"success",65,0.1,0.25,1,1,1
"50",23.5,"up",35.7944765071706,"success",66,0.1,0.25,1,1,1
"51",23.2,"up",35.6149640479936,"success",67,0.1,0.25,1,1,1
"52",22.9,"up",35.4376608945536,"success",68,0.1,0.25,1,1,1
"53",22.7,"up",35.3195213054911,"success",69,0.1,0.25,1,1,1
"54",22.4,"up",35.1459137400341,"success",70,0.1,0.25,1,1,1
