"","time","R","G","B_V","C_V","initialvalue","p_val","mu_M","R_modifier","alpha_1","infection_length"
"1",0,8500000,0,5,0.1,4385.965,1,1,1,1,NA
"2",0.1,8499204.04262749,1.54693996031621e-98,5,0.1,4385.965,1,1,1,1,NA
"3",0.2,8498303.42439696,1.29932399430985e-64,5,0.1,4385.965,1,1,1,1,NA
"4",0.3,8497409.00080361,6.35251665918652e-48,5,0.1,4385.965,1,1,1,1,NA
"5",0.4,8496520.76897303,3.8303809940957e-37,5,0.1,4385.965,1,1,1,1,NA
"6",0.5,8495638.69574525,2.36515206590928e-29,5,0.1,4385.965,1,1,1,1,NA
"7",0.6,8494762.74811894,2.16765041130906e-23,5,0.1,4385.965,1,1,1,1,NA
"8",0.7,8493892.88669904,1.09724916291269e-18,5,0.1,4385.965,1,1,1,1,NA
"9",0.8,8493028.11510271,6.79079439986774e-15,5,0.1,4385.965,1,1,1,1,NA
"10",0.9,8492147.38654615,8.52294524212873e-12,5,0.1,4385.965,1,1,1,1,NA
"11",1,8491141.32611994,3.04967046849424e-09,5,0.1,4385.965,1,1,1,1,NA
"12",1.1,8489870.84162672,3.96978495729264e-07,5,0.1,4385.965,1,1,1,1,NA
"13",1.2,8488380.05431155,2.25325895459412e-05,5,0.1,4385.965,1,1,1,1,NA
"14",1.3,8486810.32408795,0.000639937271977259,5,0.1,4385.965,1,1,1,1,NA
"15",1.4,8485233.92256325,0.0101418738677766,5,0.1,4385.965,1,1,1,1,NA
"16",1.5,8483666.75982438,0.097843716796027,5,0.1,4385.965,1,1,1,1,NA
"17",1.6,8482110.49952122,0.617548791116449,5,0.1,4385.965,1,1,1,1,NA
"18",1.7,8480563.09731503,2.71028048394826,5,0.1,4385.965,1,1,1,1,NA
"19",1.8,8479007.21597616,8.72079769268293,5,0.1,4385.965,1,1,1,1,NA
"20",1.9,8477372.40089933,21.5664808742186,5,0.1,4385.965,1,1,1,1,NA
"21",2,8475515.48290141,42.7898669962397,5,0.1,4385.965,1,1,1,1,NA
"22",2.1,8473311.16183716,70.8734834094118,5,0.1,4385.965,1,1,1,1,NA
"23",2.2,8470776.58769605,101.661160375642,5,0.1,4385.965,1,1,1,1,NA
"24",2.3,8468045.58548472,130.568024347502,5,0.1,4385.965,1,1,1,1,NA
"25",2.4,8465245.28121853,154.600216420631,5,0.1,4385.965,1,1,1,1,NA
"26",2.5,8462439.68642614,172.948736300749,5,0.1,4385.965,1,1,1,1,NA
"27",2.6,8459646.95222088,186.533796230627,5,0.1,4385.965,1,1,1,1,NA
"28",2.7,8456857.52518266,197.405313631662,5,0.1,4385.965,1,1,1,1,NA
"29",2.8,8454019.27955141,208.295719481542,5,0.1,4385.965,1,1,1,1,NA
"30",2.9,8451005.45850095,221.966832653522,5,0.1,4385.965,1,1,1,1,NA
"31",3,8447627.92202825,240.152383261344,5,0.1,4385.965,1,1,1,1,NA
"32",3.1,8443737.98267335,262.645997828358,5,0.1,4385.965,1,1,1,1,NA
"33",3.2,8439335.42247672,287.345645559185,5,0.1,4385.965,1,1,1,1,NA
"34",3.3,8434563.36033702,311.343880314654,5,0.1,4385.965,1,1,1,1,NA
"35",3.4,8429602.67260067,332.299608460898,5,0.1,4385.965,1,1,1,1,NA
"36",3.5,8424581.97885721,349.312524645639,5,0.1,4385.965,1,1,1,1,NA
"37",3.6,8419554.61853175,363.155122484557,5,0.1,4385.965,1,1,1,1,NA
"38",3.7,8414502.05673872,376.116135031842,5,0.1,4385.965,1,1,1,1,NA
"39",3.8,8409320.61011846,391.525551794273,5,0.1,4385.965,1,1,1,1,NA
"40",3.9,8403806.85598736,412.770508819781,5,0.1,4385.965,1,1,1,1,NA
"41",4,8397700.12253066,441.876192265238,5,0.1,4385.965,1,1,1,1,NA
"42",4.1,8390801.17942473,478.354233061779,5,0.1,4385.965,1,1,1,1,NA
"43",4.2,8383088.26450195,519.175437048589,5,0.1,4385.965,1,1,1,1,NA
"44",4.3,8374726.20620776,560.03072906131,5,0.1,4385.965,1,1,1,1,NA
"45",4.4,8365964.9221776,597.158139455695,5,0.1,4385.965,1,1,1,1,NA
"46",4.5,8357018.43416794,628.806969129412,5,0.1,4385.965,1,1,1,1,NA
"47",4.6,8347994.46586993,655.88552776272,5,0.1,4385.965,1,1,1,1,NA
"48",4.7,8338867.06266323,681.812391135122,5,0.1,4385.965,1,1,1,1,NA
"49",4.8,8329461.6267578,711.63206128242,5,0.1,4385.965,1,1,1,1,NA
"50",4.9,8319464.5530733,750.399465561189,5,0.1,4385.965,1,1,1,1,NA
"51",5,8308502.3370669,801.16131589991,5,0.1,4385.965,1,1,1,1,NA
"52",5.1,8296291.75485692,863.4179274357,5,0.1,4385.965,1,1,1,1,NA
"53",5.2,8282778.08784467,933.026253268033,5,0.1,4385.965,1,1,1,1,NA
"54",5.3,8268159.3160528,1003.78251287109,5,0.1,4385.965,1,1,1,1,NA
"55",5.4,8252779.48032175,1069.9415093527,5,0.1,4385.965,1,1,1,1,NA
"56",5.5,8236968.41290194,1128.52675656118,5,0.1,4385.965,1,1,1,1,NA
"57",5.6,8220912.51508333,1180.59344828688,5,0.1,4385.965,1,1,1,1,NA
"58",5.7,8204581.91929384,1231.15476648604,5,0.1,4385.965,1,1,1,1,NA
"59",5.8,8187707.33773778,1287.77455207012,5,0.1,4385.965,1,1,1,1,NA
"60",5.9,8169819.24895492,1358.05081571557,5,0.1,4385.965,1,1,1,1,NA
"61",6,8150377.04833013,1446.67452322856,5,0.1,4385.965,1,1,1,1,NA
"62",6.1,8128969.6064826,1553.25280288977,5,0.1,4385.965,1,1,1,1,NA
"63",6.2,8105491.95272979,1672.08525755097,5,0.1,4385.965,1,1,1,1,NA
"64",6.3,8080188.18493871,1794.23125369328,5,0.1,4385.965,1,1,1,1,NA
"65",6.4,8053531.21742865,1911.03985643338,5,0.1,4385.965,1,1,1,1,NA
"66",6.5,8026009.47902193,2017.66792382105,5,0.1,4385.965,1,1,1,1,NA
"67",6.6,7997921.46000993,2115.25037061964,5,0.1,4385.965,1,1,1,1,NA
"68",6.7,7969241.43951962,2210.99276195932,5,0.1,4385.965,1,1,1,1,NA
"69",6.8,7939580.15018426,2316.08139213726,5,0.1,4385.965,1,1,1,1,NA
"70",6.9,7908259.38459012,2441.89223463044,5,0.1,4385.965,1,1,1,1,NA
"71",7,7874509.00152035,2595.66467086546,5,0.1,4385.965,1,1,1,1,NA
"72",7.1,7837741.22117918,2777.32779848308,5,0.1,4385.965,1,1,1,1,NA
"73",7.2,7797783.82480266,2979.04569338471,5,0.1,4385.965,1,1,1,1,NA
"74",7.3,7754947.09383645,3187.97066805886,5,0.1,4385.965,1,1,1,1,NA
"75",7.4,7709880.8107398,3391.22087636651,5,0.1,4385.965,1,1,1,1,NA
"76",7.5,7663289.85694722,3581.13297857026,5,0.1,4385.965,1,1,1,1,NA
"77",7.6,7615633.18516201,3758.74138572058,5,0.1,4385.965,1,1,1,1,NA
"78",7.7,7566910.76167282,3934.18430573206,5,0.1,4385.965,1,1,1,1,NA
"79",7.8,7516601.68511223,4123.72599353456,5,0.1,4385.965,1,1,1,1,NA
"80",7.9,7463781.66653907,4344.17898647069,5,0.1,4385.965,1,1,1,1,NA
"81",8,7407407.83304856,4606.57007603584,5,0.1,4385.965,1,1,1,1,NA
"82",8.1,7346689.93452836,4911.47256835011,5,0.1,4385.965,1,1,1,1,NA
"83",8.2,7281396.64202833,5248.16614112066,5,0.1,4385.965,1,1,1,1,NA
"84",8.3,7211948.38278805,5598.31818807979,5,0.1,4385.965,1,1,1,1,NA
"85",8.4,7139240.75380252,5942.99202481233,5,0.1,4385.965,1,1,1,1,NA
"86",8.5,7064272.11260023,6270.31221755424,5,0.1,4385.965,1,1,1,1,NA
"87",8.6,6987732.42451119,6580.79457268485,5,0.1,4385.965,1,1,1,1,NA
"88",8.7,6909703.30334709,6888.26333186395,5,0.1,4385.965,1,1,1,1,NA
"89",8.8,6829574.14732407,7215.72192187376,5,0.1,4385.965,1,1,1,1,NA
"90",8.9,6746212.03534737,7587.36899515988,5,0.1,4385.965,1,1,1,1,NA
"91",9,6658349.68123559,8019.45229618706,5,0.1,4385.965,1,1,1,1,NA
"92",9.1,6565061.57580446,8513.53051658008,5,0.1,4385.965,1,1,1,1,NA
"93",9.2,6466144.264494,9055.01158151639,5,0.1,4385.965,1,1,1,1,NA
"94",9.3,6362224.62357748,9618.06477018376,5,0.1,4385.965,1,1,1,1,NA
"95",9.4,6254537.20969565,10175.309668722,5,0.1,4385.965,1,1,1,1,NA
"96",9.5,6144460.0093884,10708.693779379,5,0.1,4385.965,1,1,1,1,NA
"97",9.6,6033001.08719405,11217.3020300347,5,0.1,4385.965,1,1,1,1,NA
"98",9.7,5920431.31833638,11718.9652847581,5,0.1,4385.965,1,1,1,1,NA
"99",9.8,5806198.35060626,12244.6981311153,5,0.1,4385.965,1,1,1,1,NA
"100",9.9,5689157.05057753,12827.6223612057,5,0.1,4385.965,1,1,1,1,NA
"101",10,5568046.2412437,13490.2515718502,5,0.1,4385.965,1,1,1,1,NA
"102",10.1,5442040.8508918,14235.0356455114,5,0.1,4385.965,1,1,1,1,NA
"103",10.2,5311160.92386998,15042.1722683249,5,0.1,4385.965,1,1,1,1,NA
"104",10.3,5176358.54943409,15876.0006257304,5,0.1,4385.965,1,1,1,1,NA
"105",10.4,5039240.28305173,16698.0023677403,5,0.1,4385.965,1,1,1,1,NA
"106",10.5,4901542.77307476,17481.4849426194,5,0.1,4385.965,1,1,1,1,NA
"107",10.6,4764578.60200091,18222.3136484392,5,0.1,4385.965,1,1,1,1,NA
"108",10.7,4628870.19481967,18941.270511658,5,0.1,4385.965,1,1,1,1,NA
"109",10.8,4494100.38054195,19676.8021999142,5,0.1,4385.965,1,1,1,1,NA
"110",10.9,4359389.6437675,20470.4198451337,5,0.1,4385.965,1,1,1,1,NA
"111",11,4223792.03745948,21350.0811074189,5,0.1,4385.965,1,1,1,1,NA
"112",11.1,4086818.66266599,22317.900043711,5,0.1,4385.965,1,1,1,1,NA
"113",11.2,3948777.24646019,23347.336843522,5,0.1,4385.965,1,1,1,1,NA
"114",11.3,3810789.82896311,24391.3161692098,5,0.1,4385.965,1,1,1,1,NA
"115",11.4,3674486.55396106,25398.6025245632,5,0.1,4385.965,1,1,1,1,NA
"116",11.5,3541516.03713568,26332.1587004424,5,0.1,4385.965,1,1,1,1,NA
"117",11.6,3413077.9000447,27182.389737953,5,0.1,4385.965,1,1,1,1,NA
"118",11.7,3289656.28136239,27969.9330137531,5,0.1,4385.965,1,1,1,1,NA
"119",11.8,3171033.91290237,28736.7052233687,5,0.1,4385.965,1,1,1,1,NA
"120",11.9,3056558.15729802,29528.2807847917,5,0.1,4385.965,1,1,1,1,NA
"121",12,2945537.5340036,30374.4840420103,5,0.1,4385.965,1,1,1,1,NA
"122",12.1,2837614.41146666,31275.4109174591,5,0.1,4385.965,1,1,1,1,NA
"123",12.2,2732967.34824464,32198.7453638729,5,0.1,4385.965,1,1,1,1,NA
"124",12.3,2632275.21888699,33089.5334263621,5,0.1,4385.965,1,1,1,1,NA
"125",12.4,2536477.36526441,33888.6991139103,5,0.1,4385.965,1,1,1,1,NA
"126",12.5,2446445.18362888,34553.1486495846,5,0.1,4385.965,1,1,1,1,NA
"127",12.6,2362704.17717172,35069.5888080267,5,0.1,4385.965,1,1,1,1,NA
"128",12.7,2285304.60245234,35456.8086263386,5,0.1,4385.965,1,1,1,1,NA
"129",12.8,2213866.72861938,35755.7358702891,5,0.1,4385.965,1,1,1,1,NA
"130",12.9,2147762.03516954,36011.2817824654,5,0.1,4385.965,1,1,1,1,NA
"131",13,2086348.75560694,36253.2077413625,5,0.1,4385.965,1,1,1,1,NA
"132",13.1,2029172.87175478,36483.4338527315,5,0.1,4385.965,1,1,1,1,NA
"133",13.2,1976066.05359897,36674.6348170929,5,0.1,4385.965,1,1,1,1,NA
"134",13.3,1927118.71084238,36780.347407389,5,0.1,4385.965,1,1,1,1,NA
"135",13.4,1882555.38581737,36752.3185600342,5,0.1,4385.965,1,1,1,1,NA
"136",13.5,1842574.53435179,36558.1047036385,5,0.1,4385.965,1,1,1,1,NA
"137",13.6,1807219.22878952,36192.0841360715,5,0.1,4385.965,1,1,1,1,NA
"138",13.7,1776319.94315107,35676.218853215,5,0.1,4385.965,1,1,1,1,NA
"139",13.8,1749518.75234503,35050.8107100813,5,0.1,4385.965,1,1,1,1,NA
"140",13.9,1726353.72837534,34359.470598325,5,0.1,4385.965,1,1,1,1,NA
"141",14,1706366.32055116,33634.3544776792,5,0.1,4385.965,1,1,1,1,NA
"142",14.1,1689192.55200329,32887.1913942487,5,0.1,4385.965,1,1,1,1,NA
"143",14.2,1674609.3556574,32109.0532462687,5,0.1,4385.965,1,1,1,1,NA
"144",14.3,1662525.78313344,31278.030566053,5,0.1,4385.965,1,1,1,1,NA
"145",14.4,1652932.43162395,30371.349271542,5,0.1,4385.965,1,1,1,1,NA
"146",14.5,1645831.95227911,29376.636265484,5,0.1,4385.965,1,1,1,1,NA
"147",14.6,1641179.40243765,28298.4224403872,5,0.1,4385.965,1,1,1,1,NA
"148",14.7,1638851.15061216,27157.7631290486,5,0.1,4385.965,1,1,1,1,NA
"149",14.8,1638648.03157457,25985.936424624,5,0.1,4385.965,1,1,1,1,NA
"150",14.9,1640326.79955791,24815.0518860217,5,0.1,4385.965,1,1,1,1,NA
"151",15,1643643.29163391,23669.5470574763,5,0.1,4385.965,1,1,1,1,NA
"152",15.1,1648393.34017514,22561.1845932577,5,0.1,4385.965,1,1,1,1,NA
"153",15.2,1654436.06491061,21489.1268518098,5,0.1,4385.965,1,1,1,1,NA
"154",15.3,1661695.12157811,20444.2502537165,5,0.1,4385.965,1,1,1,1,NA
"155",15.4,1670139.69885689,19415.5721945455,5,0.1,4385.965,1,1,1,1,NA
"156",15.5,1679755.35644833,18396.2030723373,5,0.1,4385.965,1,1,1,1,NA
"157",15.6,1690515.70385255,17386.7314724444,5,0.1,4385.965,1,1,1,1,NA
"158",15.7,1702364.44515447,16395.2437603084,5,0.1,4385.965,1,1,1,1,NA
"159",15.8,1715212.42839478,15434.4167493803,5,0.1,4385.965,1,1,1,1,NA
"160",15.9,1728947.72372301,14517.2564508286,5,0.1,4385.965,1,1,1,1,NA
